slug;genre;poster;
leave_no_trace;Drama;https://resizing.flixster.com/2yN-8dHeqIS7_yy8-s7K46jlsus=/206x305/v2/https://resizing.flixster.com/qF1V53LvHZfdeJGYQt0E8jsTVg0=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzIyMWNhY2M3LWZjMTItNDdmOS1iYjZjLTM2NmVlNzA4NDc5NC53ZWJw;
hidden_figures;History,Drama;https://resizing.flixster.com/T7J3ek3HgjJV_Id99tu2_kjFQwc=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p13070002_p_v8_ad.jpg;
free_solo;Documentary;https://resizing.flixster.com/a7Ge1hkNBrPA9G1jvmmwQW-qQQg=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p15913013_p_v8_aa.jpg;
wonder;Drama;https://resizing.flixster.com/esf6z0wfGJkUGYe7TOROAX4lqgg=/206x305/v2/https://resizing.flixster.com/VdOTamy77ChyDygRGfGR2bPYL8I=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzJkNjNmNWNkLWM2M2EtNDFmYy05NWNhLTYzY2UyYTMyYWFhZi53ZWJw;
hail_caesar_2016;Comedy;https://resizing.flixster.com/nWNrIMnvAig2fgw7Jlw_so-Go5k=/206x305/v2/https://resizing.flixster.com/aCG3rPloDnmklArWl6EO64Fl5FI=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzNiYTYzZjViLWNjOTEtNDU3ZC1iZWFkLWI0MDQzNmE3ODUyZS53ZWJw;
the_other_side_of_hope;Comedy,Drama;https://resizing.flixster.com/SMUMrmbaC3j_tRBWg1hTj9q_E9g=/206x305/v2/https://resizing.flixster.com/gFSJXJa80YmpLCa5Ui1VKpCg2zw=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2I2ZDI1OWM1LTc0MjYtNGI3OC05NmMyLTZkYWM5MTIzNjgzMC53ZWJw;
citizenfour;Documentary;https://resizing.flixster.com/1C6M52YpXp5dmNOUcR2KWIfkra0=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p11098261_p_v12_ag.jpg;
searching_for_sugar_man;Documentary;https://resizing.flixster.com/FbF9QAejroHY4sMeBWzUnMAjXas=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p9028544_p_v8_ab.jpg;
three_identical_strangers;Documentary,Biography,Drama,History,Mystery&thriller;https://resizing.flixster.com/VEwe4I0doAaDbLlppujz1t2QSx0=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p15402597_p_v8_ab.jpg;
the_beatles_eight_days_a_week_the_touring_years;Documentary,Music;https://resizing.flixster.com/HQxHJ5Xdbt9cKERrTdNHwlsNe38=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p13010652_p_v11_be.jpg;
downton_abbey;Drama;https://resizing.flixster.com/K4a78JgMyxrh7D3B7_wKTnJ8u7Y=/206x305/v2/https://resizing.flixster.com/0N1NaIDPnBl2I50yYW7-I36W26Q=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzU5NzI2OTlhLWZlZmUtNDU5YS1iYzQ1LWYwOGQxNmVhMDYxMS53ZWJw;
the_hundred_foot_journey;Comedy,Drama;https://resizing.flixster.com/HNJsr8NpaALmKKihpH8KrBxhwlg=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p10479219_p_v8_ai.jpg;
still_alice;Drama;https://resizing.flixster.com/J1xAiZRG4NW28blGThW6ukJldTI=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/NowShowing/142897/142897_aa.jpg;
the_little_death_2014;Romance,Comedy;https://resizing.flixster.com/OWSWpPrJlSgJoSh2zlzuPx74jqY=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p11108584_p_v8_ac.jpg;
men_and_chicken;Comedy,Drama;https://resizing.flixster.com/kiLq4KtWxd7zfzd2y9pErItpf9M=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p12137394_p_v8_ac.jpg;
